metode,mae,rmse,r2,mape_pct
Model target-aware,3.2096252970885315,4.22896212868004,0.146265134093311,13.025112477527298
Rata-rata development,4.669117647058823,6.392852741653806,-0.9509441072018503,17.45984763635276
Referensi R²=0 (rata-rata audit; non-operasional),3.598615916955017,4.576909097394567,0.0,15.069994732268357
Baseline 14 hari,9.588235294117647,10.624610719512336,-4.388668648827222,38.65244031835321
