bootstrap_id,mae,rmse,r2,mape_pct
1,3.0852755991285408,4.17730804745464,0.3379254523772921,12.685156154260183
2,3.181820286195286,4.211845356001764,0.11900050066065604,12.479403437101345
3,3.8300411856661847,5.30554826876604,-0.06755230640827081,14.85779175981139
4,3.1341066583198924,3.6912029101849746,0.21545747976057594,13.80889328141253
5,2.5425772111875045,3.395283946588351,0.3492057548409232,9.787931577408104
6,3.060152335681747,3.783114589653692,-0.09472779290735911,14.083679922164775
7,2.3359747510115163,2.9611854794627708,0.32047167144794386,10.181400377656479
8,3.0463882381235305,3.8345130648599324,-0.19320708697341016,13.736151069434161
9,3.855499076903488,4.831803485775913,0.1837788715112466,14.802884763032578
10,3.107872736468322,4.45308019460807,0.3708069266360192,12.398677932916797
11,3.4506566045610167,4.385251848941461,0.07971595263648568,14.22094398511721
12,3.041756019579548,4.078808664787158,0.03806321095994203,12.26357253945859
13,3.923808745720507,5.136379477608008,-0.05701478610610966,14.99316201155095
14,3.5164366387969315,4.621116652428941,0.14427151631476687,14.353604957858423
15,3.858481195003253,5.0774853736826495,0.22944717728171304,14.658158041950706
16,4.013327395099451,5.409868020294061,0.15783554057370774,15.490554333969323
17,3.6726773264861494,4.960688310716142,-0.12613686570537963,13.521370898995597
18,4.740481028775147,5.99136439025929,-0.039356118445543764,18.623823010328415
19,2.551518918173331,3.334296634290943,0.1786893304874002,10.793086776996587
20,3.9267133378603942,4.951157580139441,0.1542873534923508,15.259970721487829
21,2.998382558073732,3.7973994025116493,-0.016947291902048578,13.764310763472581
22,3.295145191409896,4.789553555158458,0.14525590053385773,12.324641239504874
23,3.744607234813115,4.997198706411444,0.22015219716529144,14.33827592425654
24,3.484495218289336,4.603583447095822,0.23421213050584222,13.862839203657112
25,2.851476307189542,3.3090888667610283,0.1568454065071081,12.519292131925594
26,3.9702233893557395,5.357550065229311,0.08369976353520903,15.102709841487123
27,2.385208488951135,2.963132987940999,0.24687529773071737,10.285309295408625
28,3.484672346716462,4.376416530927318,0.30024673588341,14.743525380708277
29,3.1230408991879566,4.1489012446899824,0.055188782197058917,13.180193058109403
30,3.3953618644427443,4.57276473492755,0.2000474903838051,12.900408835067806
31,3.1270009195597415,4.163236430735819,-0.06012769525957884,12.280388641098119
32,3.481078586990351,4.839505912221374,0.06784420724957718,13.099719039853062
33,3.393985941346235,4.842777084603872,-0.049027949008900285,12.693336514507983
34,3.860185623744446,5.298779179916031,0.07329025005929024,13.49192404174146
35,3.801118746993746,5.059362964942513,0.01966904405138925,14.842974666344539
36,2.9766258558979133,3.4806228460205255,0.18601371008117007,12.742361279267058
37,2.936819274679569,3.391535407534417,0.2697619661614066,12.823076502860244
38,2.696238211951446,3.97255211669991,0.3426644726767968,10.76471739815421
39,3.0157161920323694,3.7642796119206454,0.29770665613917047,12.158176563838884
40,2.853889288543699,3.6967473526467147,0.35553266496832825,11.994250218918046
41,3.2556956469456466,3.7144042436507236,0.24185485043734467,13.446395414142254
42,2.8432694133208845,3.3196854819385204,-0.005563211306050864,12.01572612160461
43,3.2945071336615444,4.306420725069918,0.03522254006226799,13.910327552289663
44,3.0525430672268925,3.8254750241935738,0.0786338658132717,13.401696822714984
45,3.2927019530034247,4.672837018609511,0.2983145940656755,11.914764173673976
46,3.950226565373625,4.921596865701274,0.15683201062954077,16.067882580212313
47,2.434483260475905,3.0459323887968286,0.40980486686151685,10.424930936916246
48,3.8228615249129927,4.822008891800578,-0.08747201658817949,15.029269096692552
49,3.3224916355431056,4.496118615495793,0.22127909990580752,12.75789513208087
50,3.007855222391985,4.12757787863551,0.2080640391372145,12.35355177872996
51,3.533605869620576,4.47131352523463,0.2607632674982814,14.267792031053105
52,3.1889401225136504,4.312852410048729,-0.0796547736974178,12.810754469990778
53,2.3317473368135126,2.873817737442677,0.08796278022789361,10.659714724229872
54,2.793460710041594,3.2728845748814237,0.06361085169281244,13.21251011576338
